city,city_href,country,country_href
Durrës,/bus/durres,Albania,/bus/albania
Elbasan,/bus/elbasan,Albania,/bus/albania
Fier,/bus/fier,Albania,/bus/albania
Kavajë,/bus/kavaje,Albania,/bus/albania
Lezhe,/bus/lezhe,Albania,/bus/albania
Librazhd,/bus/librazhd,Albania,/bus/albania
Lushnjë,/bus/lushnje,Albania,/bus/albania
Qafe Thane,/bus/qafe-thane,Albania,/bus/albania
Shkoder,/bus/shkoder,Albania,/bus/albania
Tirana,/bus/tirana,Albania,/bus/albania
Vlorë,/bus/vlore,Albania,/bus/albania
Andorra la Vella,/bus/andorra-la-vella,Andorra,/bus/andorra
Encamp,/bus/encamp,Andorra,/bus/andorra
Escaldes-Engordany,/bus/escaldes-engordany,Andorra,/bus/andorra
Sant Julià de Lòria,/bus/sant-julia-de-loria,Andorra,/bus/andorra
Altach,/bus/altach,Austria,/bus/austria
Bludenz,/bus/bludenz,Austria,/bus/austria
Bregenz,/bus/bregenz,Austria,/bus/austria
Dornbirn,/bus/dornbirn,Austria,/bus/austria
Feldkirch,/bus/feldkirch,Austria,/bus/austria
Frastanz,/bus/frastanz,Austria,/bus/austria
Freistadt,/bus/freistadt,Austria,/bus/austria
Götzis,/bus/gotzis,Austria,/bus/austria
Graz,/bus/graz,Austria,/bus/austria
Hohenems,/bus/hohenems,Austria,/bus/austria
Imst-Pitztal,/bus/imst-pitztal,Austria,/bus/austria
Innsbruck,/bus/innsbruck,Austria,/bus/austria
Jenbach,/bus/jenbach,Austria,/bus/austria
Klagenfurt,/bus/klagenfurt,Austria,/bus/austria
Kufstein,/bus/kufstein,Austria,/bus/austria
Landeck,/bus/landeck,Austria,/bus/austria
Langen am Arlberg,/bus/langen-am-arlberg,Austria,/bus/austria
Leoben,/bus/leoben,Austria,/bus/austria
Liezen,/bus/liezen,Austria,/bus/austria
Linz,/bus/linz,Austria,/bus/austria
Nenzing,/bus/nenzing,Austria,/bus/austria
Neumarkt am Wallersee,/bus/neumarkt-am-wallersee,Austria,/bus/austria
Oeynhausen,/bus/oeynhausen,Austria,/bus/austria
Parndorf Designer Outlet,/bus/parndorf-designer-outlet,Austria,/bus/austria
Pfaffenhofen,/bus/pfaffenhofen,Austria,/bus/austria
Pinggau,/bus/pinggau,Austria,/bus/austria
Rankweil,/bus/rankweil,Austria,/bus/austria
Salzburg,/bus/salzburg,Austria,/bus/austria
Sankt Pölten,/bus/sankt-polten,Austria,/bus/austria
Seefeld,/bus/seefeld,Austria,/bus/austria
Seekirchen am Wallersee,/bus/seekirchen-am-wallersee,Austria,/bus/austria
St. Anton,/bus/st-anton,Austria,/bus/austria
Steyr,/bus/steyr,Austria,/bus/austria
Straßwalchen,/bus/strasswalchen,Austria,/bus/austria
Vienna,/bus/vienna,Austria,/bus/austria
Vienna Airport,/bus/vienna-airport,Austria,/bus/austria
Villach,/bus/villach,Austria,/bus/austria
Wels,/bus/wels,Austria,/bus/austria
Wiener Neustadt,/bus/wiener-neustadt,Austria,/bus/austria
Wörgl,/bus/worgl,Austria,/bus/austria
Antwerp,/bus/antwerp,Belgium,/bus/belgium
Arlon,/bus/arlon,Belgium,/bus/belgium
Bastogne,/bus/bastogne,Belgium,/bus/belgium
Bruges,/bus/bruges,Belgium,/bus/belgium
Brussels,/bus/brussels,Belgium,/bus/belgium
Brussels Airport,/bus/brussels-airport,Belgium,/bus/belgium
Charleroi,/bus/charleroi,Belgium,/bus/belgium
De Panne,/bus/de-panne,Belgium,/bus/belgium
Ghent,/bus/ghent,Belgium,/bus/belgium
Hasselt,/bus/hasselt,Belgium,/bus/belgium
Kortrijk,/bus/kortrijk,Belgium,/bus/belgium
Leuven,/bus/leuven,Belgium,/bus/belgium
Liège,/bus/liege,Belgium,/bus/belgium
Mons,/bus/mons,Belgium,/bus/belgium
Namur,/bus/namur,Belgium,/bus/belgium
Turnhout,/bus/turnhout,Belgium,/bus/belgium
Babino Selo,/bus/babino-selo,Bosnia & Herzegovina,/bus/bosnia-herzegovina
Banja Luka,/bus/banja-luka,Bosnia & Herzegovina,/bus/bosnia-herzegovina
Banovići,/bus/banovici,Bosnia & Herzegovina,/bus/bosnia-herzegovina
Bihać,/bus/bihac,Bosnia & Herzegovina,/bus/bosnia-herzegovina
Bijeljina,/bus/bijeljina,Bosnia & Herzegovina,/bus/bosnia-herzegovina
Bileća,/bus/bileca,Bosnia & Herzegovina,/bus/bosnia-herzegovina
Bočac,/bus/bocac,Bosnia & Herzegovina,/bus/bosnia-herzegovina
Bosanska Krupa,/bus/bosanska-krupa,Bosnia & Herzegovina,/bus/bosnia-herzegovina
Bratunac,/bus/bratunac,Bosnia & Herzegovina,/bus/bosnia-herzegovina
Brčko,/bus/brcko,Bosnia & Herzegovina,/bus/bosnia-herzegovina
Brestovsko,/bus/brestovsko,Bosnia & Herzegovina,/bus/bosnia-herzegovina
Brod,/bus/brod,Bosnia & Herzegovina,/bus/bosnia-herzegovina
Bugojno,/bus/bugojno,Bosnia & Herzegovina,/bus/bosnia-herzegovina
Busovača,/bus/busovaca,Bosnia & Herzegovina,/bus/bosnia-herzegovina
Cazin,/bus/cazin,Bosnia & Herzegovina,/bus/bosnia-herzegovina
Cerik,/bus/cerik,Bosnia & Herzegovina,/bus/bosnia-herzegovina
Čapljina,/bus/capljina,Bosnia & Herzegovina,/bus/bosnia-herzegovina
Čitluk,/bus/citluk,Bosnia & Herzegovina,/bus/bosnia-herzegovina
Derventa,/bus/derventa,Bosnia & Herzegovina,/bus/bosnia-herzegovina
Doboj,/bus/doboj,Bosnia & Herzegovina,/bus/bosnia-herzegovina
Donji Vakuf,/bus/donji-vakuf,Bosnia & Herzegovina,/bus/bosnia-herzegovina
Foča,/bus/foca,Bosnia & Herzegovina,/bus/bosnia-herzegovina
Gacko,/bus/gacko,Bosnia & Herzegovina,/bus/bosnia-herzegovina
Goražde,/bus/gorazde,Bosnia & Herzegovina,/bus/bosnia-herzegovina
Gornji Vakuf,/bus/gornji-vakuf,Bosnia & Herzegovina,/bus/bosnia-herzegovina
Gračanica,/bus/gracanica,Bosnia & Herzegovina,/bus/bosnia-herzegovina
Gradiška,/bus/gradiska,Bosnia & Herzegovina,/bus/bosnia-herzegovina
Grude,/bus/grude,Bosnia & Herzegovina,/bus/bosnia-herzegovina
Hadžići,/bus/hadzici,Bosnia & Herzegovina,/bus/bosnia-herzegovina
Han Ploča,/bus/han-ploca,Bosnia & Herzegovina,/bus/bosnia-herzegovina
Ilidža,/bus/ilidza,Bosnia & Herzegovina,/bus/bosnia-herzegovina
Ilijaš,/bus/ilijas,Bosnia & Herzegovina,/bus/bosnia-herzegovina
Jablanica,/bus/jablanica,Bosnia & Herzegovina,/bus/bosnia-herzegovina
Jajce,/bus/jajce,Bosnia & Herzegovina,/bus/bosnia-herzegovina
Kakanj,/bus/kakanj,Bosnia & Herzegovina,/bus/bosnia-herzegovina
Kalesija,/bus/kalesija,Bosnia & Herzegovina,/bus/bosnia-herzegovina
Kaonik,/bus/kaonik,Bosnia & Herzegovina,/bus/bosnia-herzegovina
Kiseljak,/bus/kiseljak,Bosnia & Herzegovina,/bus/bosnia-herzegovina
Kladanj,/bus/kladanj,Bosnia & Herzegovina,/bus/bosnia-herzegovina
Ključ,/bus/kljuc,Bosnia & Herzegovina,/bus/bosnia-herzegovina
Konjic,/bus/konjic,Bosnia & Herzegovina,/bus/bosnia-herzegovina
Kozarska Dubica,/bus/kozarska-dubica,Bosnia & Herzegovina,/bus/bosnia-herzegovina
Kupres,/bus/kupres,Bosnia & Herzegovina,/bus/bosnia-herzegovina
Laktaši,/bus/laktasi,Bosnia & Herzegovina,/bus/bosnia-herzegovina
Livno,/bus/livno,Bosnia & Herzegovina,/bus/bosnia-herzegovina
Ljubuški,/bus/ljubuski,Bosnia & Herzegovina,/bus/bosnia-herzegovina
Lukavac,/bus/lukavac,Bosnia & Herzegovina,/bus/bosnia-herzegovina
Maglaj,/bus/maglaj,Bosnia & Herzegovina,/bus/bosnia-herzegovina
Međugorje,/bus/medugorje,Bosnia & Herzegovina,/bus/bosnia-herzegovina
Modriča,/bus/modrica,Bosnia & Herzegovina,/bus/bosnia-herzegovina
Mostar,/bus/mostar,Bosnia & Herzegovina,/bus/bosnia-herzegovina
Mrkonjić Grad,/bus/mrkonjic-grad,Bosnia & Herzegovina,/bus/bosnia-herzegovina
Neum,/bus/neum,Bosnia & Herzegovina,/bus/bosnia-herzegovina
Nevesinje,/bus/nevesinje,Bosnia & Herzegovina,/bus/bosnia-herzegovina
Nova Bila,/bus/nova-bila,Bosnia & Herzegovina,/bus/bosnia-herzegovina
Nova Topola,/bus/nova-topola,Bosnia & Herzegovina,/bus/bosnia-herzegovina
Novi Grad,/bus/novi-grad,Bosnia & Herzegovina,/bus/bosnia-herzegovina
Novi Travnik,/bus/novi-travnik,Bosnia & Herzegovina,/bus/bosnia-herzegovina
Olovo,/bus/olovo,Bosnia & Herzegovina,/bus/bosnia-herzegovina
Orašje,/bus/orasje,Bosnia & Herzegovina,/bus/bosnia-herzegovina
Ormanica,/bus/ormanica,Bosnia & Herzegovina,/bus/bosnia-herzegovina
Podgradina,/bus/podgradina,Bosnia & Herzegovina,/bus/bosnia-herzegovina
Posušje,/bus/posusje,Bosnia & Herzegovina,/bus/bosnia-herzegovina
Prijedor,/bus/prijedor,Bosnia & Herzegovina,/bus/bosnia-herzegovina
Prnjavor,/bus/prnjavor,Bosnia & Herzegovina,/bus/bosnia-herzegovina
Prozor,/bus/prozor,Bosnia & Herzegovina,/bus/bosnia-herzegovina
Rašeljke,/bus/raseljke,Bosnia & Herzegovina,/bus/bosnia-herzegovina
Samac,/bus/samac,Bosnia & Herzegovina,/bus/bosnia-herzegovina
Sanski Most,/bus/sanski-most,Bosnia & Herzegovina,/bus/bosnia-herzegovina
Sarajevo,/bus/sarajevo,Bosnia & Herzegovina,/bus/bosnia-herzegovina
Sovići,/bus/sovici,Bosnia & Herzegovina,/bus/bosnia-herzegovina
Srđevići,/bus/srdevici,Bosnia & Herzegovina,/bus/bosnia-herzegovina
Srebrenica,/bus/srebrenica,Bosnia & Herzegovina,/bus/bosnia-herzegovina
Srebrenik,/bus/srebrenik,Bosnia & Herzegovina,/bus/bosnia-herzegovina
Široki Brijeg,/bus/siroki-brijeg,Bosnia & Herzegovina,/bus/bosnia-herzegovina
Šuica,/bus/suica,Bosnia & Herzegovina,/bus/bosnia-herzegovina
Tomislavgrad,/bus/tomislavgrad,Bosnia & Herzegovina,/bus/bosnia-herzegovina
Torlakovac,/bus/torlakovac,Bosnia & Herzegovina,/bus/bosnia-herzegovina
Travnik,/bus/travnik,Bosnia & Herzegovina,/bus/bosnia-herzegovina
Trebinje,/bus/trebinje,Bosnia & Herzegovina,/bus/bosnia-herzegovina
Turbe,/bus/turbe,Bosnia & Herzegovina,/bus/bosnia-herzegovina
Tuzla,/bus/tuzla,Bosnia & Herzegovina,/bus/bosnia-herzegovina
Ugljevik,/bus/ugljevik,Bosnia & Herzegovina,/bus/bosnia-herzegovina
Velika Kladuša,/bus/velika-kladusa,Bosnia & Herzegovina,/bus/bosnia-herzegovina
Vinac,/bus/vinac,Bosnia & Herzegovina,/bus/bosnia-herzegovina
Višegrad,/bus/visegrad,Bosnia & Herzegovina,/bus/bosnia-herzegovina
Visoko,/bus/visoko,Bosnia & Herzegovina,/bus/bosnia-herzegovina
Vitez,/bus/vitez,Bosnia & Herzegovina,/bus/bosnia-herzegovina
Zavidovići,/bus/zavidovici,Bosnia & Herzegovina,/bus/bosnia-herzegovina
Zenica,/bus/zenica,Bosnia & Herzegovina,/bus/bosnia-herzegovina
Zvornik,/bus/zvornik,Bosnia & Herzegovina,/bus/bosnia-herzegovina
Žepče,/bus/zepce,Bosnia & Herzegovina,/bus/bosnia-herzegovina
Živinice,/bus/zivinice,Bosnia & Herzegovina,/bus/bosnia-herzegovina
"Abadiânia, GO",/bus/abadiania-go,Brazil,/bus/brazil
"Açailândia, MA",/bus/acailandia-ma,Brazil,/bus/brazil
"Adamantina, SP",/bus/adamantina-sp,Brazil,/bus/brazil
"Alexânia, GO",/bus/alexania-go,Brazil,/bus/brazil
"Aliança do Tocantins, TO",/bus/alianca-do-tocantins-to,Brazil,/bus/brazil
"Alvorada do Norte, GO",/bus/alvorada-do-norte-go,Brazil,/bus/brazil
"Alvorada, TO",/bus/alvorada-to,Brazil,/bus/brazil
"Americana, SP",/bus/americana-sp,Brazil,/bus/brazil
"Ananindeua, PA",/bus/ananindeua-pa,Brazil,/bus/brazil
"Anápolis, GO",/bus/anapolis-go,Brazil,/bus/brazil
"Andradina, SP",/bus/andradina-sp,Brazil,/bus/brazil
"Angra dos Reis, RJ",/bus/angra-dos-reis-rj,Brazil,/bus/brazil
"Aparecida, SP",/bus/aparecida-sp,Brazil,/bus/brazil
"Apodi, RN",/bus/apodi-rn,Brazil,/bus/brazil
"Apucarana, PR",/bus/apucarana-pr,Brazil,/bus/brazil
"Aracaju, SE",/bus/aracaju-se,Brazil,/bus/brazil
"Aracati, CE",/bus/aracati-ce,Brazil,/bus/brazil
"Araçatuba, SP",/bus/aracatuba-sp,Brazil,/bus/brazil
"Aragarças, GO",/bus/aragarcas-go,Brazil,/bus/brazil
"Araguaína, TO",/bus/araguaina-to,Brazil,/bus/brazil
"Araguari, MG",/bus/araguari-mg,Brazil,/bus/brazil
"Arapiraca, AL",/bus/arapiraca-al,Brazil,/bus/brazil
"Arapongas, PR",/bus/arapongas-pr,Brazil,/bus/brazil
"Araraquara, SP",/bus/araraquara-sp,Brazil,/bus/brazil
"Arari, MA",/bus/arari-ma,Brazil,/bus/brazil
"Assis, SP",/bus/assis-sp,Brazil,/bus/brazil
"Atibaia, SP",/bus/atibaia-sp,Brazil,/bus/brazil
"Água Clara, MS",/bus/agua-clara-ms,Brazil,/bus/brazil
"Bacabal, MA",/bus/bacabal-ma,Brazil,/bus/brazil
"Balneário Camboriú, SC",/bus/balneario-camboriu-sc,Brazil,/bus/brazil
"Balneário Piçarras, SC",/bus/balneario-picarras-sc,Brazil,/bus/brazil
"Barbacena, MG",/bus/barbacena-mg,Brazil,/bus/brazil
"Barra do Corda, MA",/bus/barra-do-corda-ma,Brazil,/bus/brazil
"Barra do Garças, MT",/bus/barra-do-garcas-mt,Brazil,/bus/brazil
"Barra Mansa, RJ",/bus/barra-mansa-rj,Brazil,/bus/brazil
"Barra Velha, SC",/bus/barra-velha-sc,Brazil,/bus/brazil
"Barreiras, BA",/bus/barreiras-ba,Brazil,/bus/brazil
"Barretos, SP",/bus/barretos-sp,Brazil,/bus/brazil
"Bauru, SP",/bus/bauru-sp,Brazil,/bus/brazil
"Belém, PA",/bus/belem-pa,Brazil,/bus/brazil
"Belo Horizonte, MG",/bus/belo-horizonte-mg,Brazil,/bus/brazil
"Betim, MG",/bus/betim-mg,Brazil,/bus/brazil
"Birigui, SP",/bus/birigui-sp,Brazil,/bus/brazil
"Blumenau, SC",/bus/blumenau-sc,Brazil,/bus/brazil
"Bragança Paulista, SP",/bus/braganca-paulista-sp,Brazil,/bus/brazil
"Brasília, DF",/bus/brasilia-df,Brazil,/bus/brazil
"Brejinho de Nazaré, TO",/bus/brejinho-de-nazare-to,Brazil,/bus/brazil
"Brejo Santo, CE",/bus/brejo-santo-ce,Brazil,/bus/brazil
"Brusque, SC",/bus/brusque-sc,Brazil,/bus/brazil
"Buriticupu, MA",/bus/buriticupu-ma,Brazil,/bus/brazil
"Cabo Frio, RJ",/bus/cabo-frio-rj,Brazil,/bus/brazil
"Cajazeiras, PB",/bus/cajazeiras-pb,Brazil,/bus/brazil
"Caldas Novas, GO",/bus/caldas-novas-go,Brazil,/bus/brazil
"Campinas, SP",/bus/campinas-sp,Brazil,/bus/brazil
"Campinorte, GO",/bus/campinorte-go,Brazil,/bus/brazil
"Campo Grande, MS",/bus/campo-grande-ms,Brazil,/bus/brazil
"Campo Mourão, PR",/bus/campo-mourao-pr,Brazil,/bus/brazil
"Campo Verde, MT",/bus/campo-verde-mt,Brazil,/bus/brazil
"Cândido Sales, BA",/bus/candido-sales-ba,Brazil,/bus/brazil
"Caraguatatuba, SP",/bus/caraguatatuba-sp,Brazil,/bus/brazil
"Carazinho, RS",/bus/carazinho-rs,Brazil,/bus/brazil
"Carlos Chagas, MG",/bus/carlos-chagas-mg,Brazil,/bus/brazil
"Caruaru, PE",/bus/caruaru-pe,Brazil,/bus/brazil
"Cascavel, PR",/bus/cascavel-pr,Brazil,/bus/brazil
"Castanhal, PA",/bus/castanhal-pa,Brazil,/bus/brazil
"Caxias, MA",/bus/caxias-ma,Brazil,/bus/brazil
"Cidade Ocidental, GO",/bus/cidade-ocidental-go,Brazil,/bus/brazil
"Cocos, BA",/bus/cocos-ba,Brazil,/bus/brazil
"Colinas do Tocantins, TO",/bus/colinas-do-tocantins-to,Brazil,/bus/brazil
"Contagem, MG",/bus/contagem-mg,Brazil,/bus/brazil
"Coribe, BA",/bus/coribe-ba,Brazil,/bus/brazil
"Corrente, PI",/bus/corrente-pi,Brazil,/bus/brazil
"Correntina, BA",/bus/correntina-ba,Brazil,/bus/brazil
"Coxim, MS",/bus/coxim-ms,Brazil,/bus/brazil
"Coxipó, MT",/bus/coxipo-mt,Brazil,/bus/brazil
"Cristalina, GO",/bus/cristalina-go,Brazil,/bus/brazil
"Cruz Alta, RS",/bus/cruz-alta-rs,Brazil,/bus/brazil
"Cuiabá, MT",/bus/cuiaba-mt,Brazil,/bus/brazil
"Curitiba, PR",/bus/curitiba-pr,Brazil,/bus/brazil
"Delta, MG",/bus/delta-mg,Brazil,/bus/brazil
"Diamantino, MT",/bus/diamantino-mt,Brazil,/bus/brazil
"Dom Eliseu, PA",/bus/dom-eliseu-pa,Brazil,/bus/brazil
"Dracena, SP",/bus/dracena-sp,Brazil,/bus/brazil
"Duque de Caxias, RJ",/bus/duque-de-caxias-rj,Brazil,/bus/brazil
"Embu das Artes, SP",/bus/embu-das-artes-sp,Brazil,/bus/brazil
"Engenheiro Beltrão, PR",/bus/engenheiro-beltrao-pr,Brazil,/bus/brazil
"Erechim, RS",/bus/erechim-rs,Brazil,/bus/brazil
"Estreito, MA",/bus/estreito-ma,Brazil,/bus/brazil
"Feira de Santana, BA",/bus/feira-de-santana-ba,Brazil,/bus/brazil
"Floriano, PI",/bus/floriano-pi,Brazil,/bus/brazil
"Florianópolis, SC",/bus/florianopolis-sc,Brazil,/bus/brazil
